Geneid	AEC.mock.I	AEC.mock.II	AEC.mock.III	AEC.WSN.I	AEC.WSN.II	AEC.WSN.III	AEC.WSN.PP1.I	AEC.WSN.PP1.II	AEC.WSN.PP1.III	AM.mock.I	AM.mock.II	AM.mock.III	AM.WSN.I	AM.WSN.II	AM.WSN.III	AM.WSN.PP1.I	AM.WSN.PP1.II	AM.WSN.PP1.III
ENSMUSG00000001134	74	51	119	56	66	65	183	113	87	94	83	61	39	36	92	40	39	72
ENSMUSG00000001138	277	284	545	36	34	53	95	68	51	22	60	59	23	31	7	12	3	2
ENSMUSG00000001143	361	341	693	175	220	230	566	246	243	109	164	171	40	60	120	74	64	71
ENSMUSG00000001150	306	332	606	128	112	145	159	78	67	69	223	235	88	92	55	31	24	60
ENSMUSG00000001151	134	115	222	32	32	38	39	29	20	11	34	96	30	39	8	6	2	6
ENSMUSG00000001155	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSMUSG00000001156	177	140	293	137	126	158	73	38	34	376	586	139	351	502	3813	907	824	1122
ENSMUSG00000001157	204	245	435	98	96	99	104	63	61	138	199	156	54	60	106	71	44	60
ENSMUSG00000001158	175	143	353	123	132	141	459	258	236	225	247	186	142	173	213	144	131	132
ENSMUSG00000001166	40	27	60	65	76	82	52	28	20	123	145	98	68	122	48	26	21	22
ENSMUSG00000001168	0	0	0	5	3	3	0	0	0	0	0	4	5	12	1	0	2	0
ENSMUSG00000001173	447	365	728	253	259	278	1010	558	503	131	218	360	135	145	155	129	92	113
ENSMUSG00000001175	8241	8068	16922	4083	4435	4318	15192	7275	6808	7198	9947	6268	2864	3399	7192	3979	3337	4195
ENSMUSG00000001211	1274	1184	2461	835	892	925	2238	1050	1016	830	1584	1246	515	562	573	264	226	306
ENSMUSG00000001225	0	0	0	1	0	3	0	0	0	0	0	1	0	1	1	0	1	0
ENSMUSG00000001227	4	6	18	4	4	4	7	1	4	10	26	59	6	11	6	8	4	2
ENSMUSG00000001228	18	24	31	37	40	36	60	27	23	15	32	52	12	12	25	12	4	10
ENSMUSG00000001229	387	391	763	286	265	299	572	236	260	210	512	372	110	172	367	165	101	206
ENSMUSG00000001240	1	0	0	1	2	3	3	1	3	7	9	7	0	0	2	0	0	1
ENSMUSG00000001247	1115	1123	1250	645	703	698	655	581	583	3	0	6	9	4	3	2	1	1
ENSMUSG00000001248	403	350	719	145	129	128	755	405	424	887	2225	2001	813	1006	593	312	253	352
ENSMUSG00000001249	152	161	299	79	74	87	196	74	112	26	81	96	22	32	11	6	4	5
ENSMUSG00000001260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001270	1448	1375	2755	859	936	879	3732	1444	1550	594	1408	2249	432	518	1363	1027	905	1209
ENSMUSG00000001280	585	502	1081	254	259	310	887	473	420	773	1123	540	164	194	172	61	50	75
ENSMUSG00000001281	4	1	4	0	2	4	1	1	1	5	33	35	65	64	26	7	10	21
ENSMUSG00000001285	90	98	203	75	69	84	270	140	141	66	136	89	52	68	71	63	54	56
ENSMUSG00000001288	416	415	852	154	178	180	745	351	332	44	125	96	51	65	81	54	33	58
ENSMUSG00000001289	510	479	1006	479	553	530	2264	1094	1121	722	911	601	622	768	1560	922	1020	1239
ENSMUSG00000001300	1191	1125	2349	313	351	336	425	246	195	11	9	6	40	54	30	2	4	12
ENSMUSG00000001305	91	91	195	67	69	65	272	118	117	44	95	64	39	37	64	38	24	22
ENSMUSG00000001313	321	341	87	265	248	283	166	185	248	261	33	355	355	388	50	325	319	382
ENSMUSG00000001323	402	355	231	229	242	260	367	389	376	183	95	228	92	102	64	68	58	59
ENSMUSG00000001333	162	167	184	99	84	120	118	94	99	16	5	10	6	16	1	11	11	12
ENSMUSG00000001334	5	3	7	5	4	4	18	5	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000001348	194	182	419	134	177	156	589	302	289	107	240	541	579	625	738	394	307	552
ENSMUSG00000001349	4877	4805	9833	3843	4059	4211	18419	7877	7900	31	31	5	4	10	14	9	9	18
ENSMUSG00000001366	176	173	378	91	82	86	191	102	109	52	110	147	25	21	22	22	10	20
ENSMUSG00000001376	369	341	715	161	166	188	524	273	258	315	490	442	168	258	203	204	126	179
ENSMUSG00000001380	595	521	1107	437	411	437	1386	784	723	348	517	421	158	189	317	166	164	195
ENSMUSG00000001383	295	294	649	197	195	214	1013	449	426	358	469	386	206	267	512	280	248	285
ENSMUSG00000001403	17	10	31	12	14	6	66	17	23	33	48	6	3	3	103	50	37	38
ENSMUSG00000001415	757	697	1359	448	391	477	528	273	282	251	563	581	168	191	117	61	34	78
ENSMUSG00000001416	1599	1685	3540	1323	1276	1443	3853	1911	1776	1542	2586	1309	611	603	1977	940	800	984
ENSMUSG00000001418	1198	1126	2154	1042	1092	1127	2814	1293	1287	898	1585	850	666	810	1598	785	626	916
ENSMUSG00000001419	509	530	1007	316	286	314	1574	845	779	237	540	676	403	582	102	63	24	71
ENSMUSG00000001420	124	126	127	36	53	39	41	74	71	17	0	34	11	17	5	10	7	16
ENSMUSG00000001424	1156	1036	2202	855	879	850	3585	1732	1715	766	2113	1215	495	546	912	383	314	408
ENSMUSG00000001435	237	247	486	182	184	204	157	79	98	138	470	301	228	186	371	104	65	65
ENSMUSG00000001436	57	44	108	36	31	38	222	90	80	43	56	35	43	43	92	59	48	58
ENSMUSG00000001440	3021	2733	5968	1955	1983	2178	7550	3803	3745	1922	4099	2139	669	704	1371	629	421	681
ENSMUSG00000001441	1291	1167	2500	752	825	838	2310	1244	1066	1056	1726	742	284	399	618	325	257	392
ENSMUSG00000001444	0	1	0	1	2	2	0	0	0	4	5	1	1	3	3	2	2	4
ENSMUSG00000001445	415	415	289	213	213	230	378	475	483	212	109	235	134	182	55	121	88	123
ENSMUSG00000001467	838	846	1708	438	490	516	2545	1232	1201	2308	3158	320	55	73	375	122	99	163
ENSMUSG00000001472	1674	1648	3361	1295	1354	1413	3502	1569	1526	1485	2864	1466	1093	1248	1948	901	764	1052
ENSMUSG00000001473	1631	1519	1603	1149	1142	1160	2405	1896	2000	561	674	162	242	260	284	279	240	331
ENSMUSG00000001482	457	367	826	210	248	235	498	201	190	154	226	224	134	163	167	107	131	123
ENSMUSG00000001493	2	6	4	8	7	6	15	11	7	0	0	0	3	0	0	0	0	2
ENSMUSG00000001494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
