cell_type,biological_question,contrast,gene_label,gene_id,regulation,log2FoldChange,abs_log2FoldChange,padj,biotype,chromosome,description
AEC,Infection response,WSN vs mock,Adar,ENSMUSG00000027951,Upregulated,2.124,2.124,1.56e-81,protein_coding,3,"adenosine deaminase, RNA-specific"
AEC,Infection response,WSN vs mock,Oas1a,ENSMUSG00000052776,Upregulated,5.058,5.058,1.40e-80,protein_coding,5,2'-5' oligoadenylate synthetase 1A
AEC,Infection response,WSN vs mock,Pcdh1,ENSMUSG00000051375,Downregulated,-2.656,2.656,2.08e-80,protein_coding,18,protocadherin 1
AEC,Infection response,WSN vs mock,Hmga1b,ENSMUSG00000078249,Upregulated,2.935,2.935,6.47e-80,protein_coding,11,high mobility group AT-hook 1B
AEC,Infection response,WSN vs mock,Cldn3,ENSMUSG00000070473,Downregulated,-3.472,3.472,9.85e-80,protein_coding,5,claudin 3
AEC,Infection response,WSN vs mock,Klhl24,ENSMUSG00000062901,Downregulated,-2.225,2.225,5.59e-79,protein_coding,16,kelch-like 24
AEC,Infection response,WSN vs mock,Phf11d,ENSMUSG00000068245,Upregulated,6.673,6.673,1.17e-78,protein_coding,14,PHD finger protein 11D
AEC,Infection response,WSN vs mock,Daxx,ENSMUSG00000002307,Upregulated,2.422,2.422,8.86e-78,protein_coding,17,Fas death domain-associated protein
AEC,Infection response,WSN vs mock,Gm74350,ENSMUSG00000142640,Upregulated,3.103,3.103,8.69e-77,lncRNA,11,74350
AEC,Infection response,WSN vs mock,Sh2d4a,ENSMUSG00000053886,Downregulated,-4.559,4.559,1.70e-76,protein_coding,8,SH2 domain containing 4A
AEC,Infection response,WSN vs mock,Mtus1,ENSMUSG00000045636,Downregulated,-2.574,2.574,2.19e-74,protein_coding,8,mitochondrial tumor suppressor 1
AEC,Infection response,WSN vs mock,Arhgef26,ENSMUSG00000036885,Downregulated,-2.845,2.845,1.52e-73,protein_coding,3,Rho guanine nucleotide exchange factor 26
AEC,Infection response,WSN vs mock,Gm36043,ENSMUSG00000117964,Upregulated,6.515,6.515,4.03e-73,lncRNA,19,36043
AEC,Infection response,WSN vs mock,Kcnk1,ENSMUSG00000033998,Downregulated,-2.34,2.34,4.35e-73,protein_coding,8,"potassium channel, subfamily K, member 1"
AEC,Infection response,WSN vs mock,Sp110,ENSMUSG00000070034,Upregulated,3.7,3.7,1.71e-71,protein_coding,1,Sp110 nuclear body protein
AEC,Infection response,WSN vs mock,Tap1,ENSMUSG00000037321,Upregulated,2.135,2.135,3.96e-71,protein_coding,17,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"
AEC,Infection response,WSN vs mock,AI593442,ENSMUSG00000078307,Downregulated,-5.525,5.525,5.82e-71,protein_coding,9,expressed sequence AI593442
AEC,Infection response,WSN vs mock,Pnpt1,ENSMUSG00000020464,Upregulated,2.48,2.48,1.15e-70,protein_coding,11,polyribonucleotide nucleotidyltransferase 1
AEC,Infection response,WSN vs mock,ENSMUSG00000127942,ENSMUSG00000127942,Upregulated,5.419,5.419,2.63e-70,lncRNA,11,"novel transcript, antisense to Irgm2"
AEC,Infection response,WSN vs mock,Hap1,ENSMUSG00000006930,Upregulated,3.675,3.675,5.64e-70,protein_coding,11,huntingtin-associated protein 1
AEC,Infection response,WSN vs mock,Il6,ENSMUSG00000025746,Upregulated,3.534,3.534,2.64e-69,protein_coding,5,interleukin 6
AEC,Infection response,WSN vs mock,Itgb6,ENSMUSG00000026971,Downregulated,-2.074,2.074,5.06e-69,protein_coding,2,integrin beta 6
AEC,Infection response,WSN vs mock,Scnn1g,ENSMUSG00000000216,Downregulated,-2.089,2.089,1.23e-68,protein_coding,7,"sodium channel, nonvoltage-gated 1 gamma"
AEC,Infection response,WSN vs mock,Gm11626,ENSMUSG00000086347,Upregulated,3.081,3.081,1.26e-68,lncRNA,11,predicted gene 11626
AEC,Infection response,WSN vs mock,A930037H05Rik,ENSMUSG00000109408,Upregulated,3.618,3.618,8.45e-68,lncRNA,11,A930037H05 gene
AEC,Infection response,WSN vs mock,Cytip,ENSMUSG00000026832,Downregulated,-2.366,2.366,1.09e-67,protein_coding,2,cytohesin 1 interacting protein
AEC,Infection response,WSN vs mock,2900026A02Rik,ENSMUSG00000051339,Downregulated,-2.337,2.337,1.45e-66,protein_coding,5,2900026A02 gene
AEC,Infection response,WSN vs mock,Gm20496,ENSMUSG00000092550,Upregulated,3.976,3.976,1.65e-66,lncRNA,17,predicted gene 20496
AEC,Infection response,WSN vs mock,Klhdc7a,ENSMUSG00000078234,Downregulated,-5.043,5.043,2.33e-66,protein_coding,4,kelch domain containing 7A
AEC,Infection response,WSN vs mock,Ccdc88c,ENSMUSG00000021182,Downregulated,-2.522,2.522,4.30e-66,protein_coding,12,coiled-coil domain containing 88C
AEC,Infection response,WSN vs mock,Cgn,ENSMUSG00000068876,Downregulated,-2.696,2.696,5.01e-65,protein_coding,3,cingulin
AEC,Infection response,WSN vs mock,Gm43109,ENSMUSG00000104653,Upregulated,3.051,3.051,5.35e-64,lncRNA,3,predicted gene 43109
AEC,Infection response,WSN vs mock,Loxl3,ENSMUSG00000000693,Upregulated,2.052,2.052,7.93e-63,protein_coding,6,lysyl oxidase-like 3
AEC,Infection response,WSN vs mock,Mlkl,ENSMUSG00000012519,Upregulated,2.761,2.761,8.11e-63,protein_coding,8,mixed lineage kinase domain-like
AEC,Infection response,WSN vs mock,Irf1,ENSMUSG00000018899,Upregulated,2.219,2.219,5.94e-61,protein_coding,11,interferon regulatory factor 1
AEC,Infection response,WSN vs mock,Car12,ENSMUSG00000032373,Upregulated,4.27,4.27,2.05e-60,protein_coding,9,carbonic anhydrase 12
